Modelo,Potencia_nominal_MW,Tipo_transmissao,Fator_capacidade_%,Custo_unitario_MUSD
AGW 172-7.0,7.0,Tres estagios,50,24.5
AM 5.7/163,5.7,Não definido,50,19.95
AM 6.0/139,6.0,Não definido,50,21.0
AM 6.0/154,6.0,Não definido,50,21.0
AMSC WT10000 DD,10.0,Direct Drive,55,40.0
DEC FD119A,3.0,Não definido,45,8.4
DEW-10.0-185,10.0,Tres estagios,55,40.0
DEW-11-185,11.0,Não definido,55,44.0
DEW-5.5MW-140,5.5,Não definido,50,19.25
DEW-7.5MW-186,7.5,Não definido,50,26.25
DEW-D13-211,13.0,Direct Drive,58,54.6
DEW-D13-245,13.0,Não definido,58,54.6
DEW-D7-186,7.0,Direct Drive,50,24.5
DEW-G5000-140,5.0,Não definido,50,17.5
DEW-H10-242,10.0,Não definido,55,40.0
EN-130/4.2,4.2,Não definido,45,11.76
EN-136/4.2,4.2,Não definido,45,11.76
EN-148/4.5,4.5,Não definido,45,12.6
EN-252/14,14.0,Não definido,58,58.8
EN-256/16.7,16.7,Não definido,58,70.14
EW11.0-208/W11000-208,11.0,Direct Drive,55,44.0
EW12.X-252,12.0,Não definido,58,50.4
GW 109-2.5MW,2.5,Não definido,45,7.0
GW 121-2.5MW,2.5,Não definido,45,7.0
GW 130-2.5MW,2.5,Não definido,45,7.0
GW 154-6.7MW,6.7,Não definido,50,23.45
GW 155-4.0MW,4.0,Não definido,45,11.2
GW 155-4.5MW,4.5,Não definido,45,12.6
GW 164-6.45MW,6.45,Não definido,50,22.57
GW 168-6.45MW,6.45,Não definido,50,22.57
GW 171-6.45MW,6.45,Não definido,50,22.57
GW 184-6.45MW,6.45,Não definido,50,22.57
GW 82-1.5MW,1.5,Não definido,45,4.2
EW25.0-310,25.0,Não definido,58,105.0
EW8-167 / W8000-167,8.0,Direct Drive,55,32.0
GWH 168-8.0,8.0,Direct Drive,55,32.0
GWH 175-8.0,8.0,Direct Drive,55,32.0
GWH 242-12.0,12.0,Gear Box,58,50.4
