nome_geral,nome_terminal,latitude,longitude
Santos,SSZ 16,-23.963100,-46.292995
Saipem,Saipem,-23.995079,-46.297253
DP World,DP World,-23.925067,-46.319470
Angra dos Reis,TPAR,-23.011396,-44.316863
Brasfels,TUP Brasfels,-22.999586,-44.244383
São Sebastião,São Sebastião,-23.812160,-45.399994
Rio de Janeiro,T2,-22.880161,-43.209810
Itaguaí,TECON,-22.930984,-43.838321
Forno,Cais Comercial,-22.970910,-42.015367
Açu,T-MULT,-21.850291,-41.017872
Vitória,Vila Velha,-20.323932,-40.322667
Salvador,TECON,-12.969784,-38.515077
Enseada,Enseada,-12.863465,-38.838583
Suape,LocalFrio,-8.393246,-34.979027
Itaqui,Pedreiras,-2.577658,-44.369535
Fortaleza,Fortaleza,-3.712704,-38.476365
Pecém,Pecém,-3.549541,-38.813024
Natal,Natal,-5.774610,-35.208696
Paranaguá,TCP,-25.505019,-48.509174
São Francisco do Sul,SCPAR,-26.232312,-48.647953
Itajaí,APM Terminais,-26.903591,-48.670175
Imbituba,Tecon Imbituba,-28.231192,-48.657743
Portonave,Portonave,-26.892124,-48.667954
Itapoá,Itapoá,-26.181029,-48.603855
Rio Grande,Tecon Rio Grande,-32.129673,-52.108567
